,ISO,Country,acct_bal,lend_borr,GDP_pc_cp,GDP_conp,GDP_currp,Inflation_avg,Inflation_eop,Country_name,cases,deaths,population,Death rate
329,ECU,Ecuador,-0.363,-2.799,-1.363,0.054,203.611,0.266,-0.065,Ecuador,139534,11495,17373657,0.082381355
336,EGY,Egypt,-3.603,-7.409,3.184,5.558,"1,391.27",13.865,9.377,Egypt,103466,5956,100388076,0.057564804
357,ERI,Eritrea,12.106,-1.477,1.95,3.836,6.591,-16.365,27.205,Eritrea,381,0,3497117,0
1092,ESP,Spain,1.999,-2.642,1.895,1.977,"1,923.65",0.7,0.788,Spain,789932,32086,46937060,0.040618686
364,EST,Estonia,1.745,-0.396,4.111,4.334,47.807,2.268,1.795,Estonia,3507,66,1324820,0.018819504
378,ETH,Ethiopia,-5.317,-2.528,6.206,8.967,243.618,15.81,19.515,Ethiopia,76988,1208,112078727,0.015690757
392,FIN,Finland,-0.1,-1.36,0.892,0.98,265.879,1.137,1.137,Finland,10204,345,5517919,0.03381027
385,FJI,Fiji,-7.2,-4.933,-0.054,0.5,10.631,1.9,1.9,Fiji,32,2,889955,0.0625
399,FRA,France,-0.758,-3.015,1.179,1.31,"3,061.82",1.3,1.623,France,589653,32155,67012883,0.054532072
406,GAB,Gabon,-0.83,1.939,2.028,3.402,39.81,2.022,1.021,Gabon,8797,54,2172578,0.006138456
1274,GBR,United Kingdom,-3.782,-2.08,0.754,1.409,"3,162.41",1.791,1.415,United_Kingdom,467146,42268,66647112,0.090481348
413,GEO,Georgia,-5.057,-1.816,5.32,5.148,47.91,4.853,6.997,Georgia,7564,48,3996762,0.006345849
427,GHA,Ghana,-2.729,-7.389,3.954,6.113,204.813,7.208,7.896,Ghana,46694,301,30417858,0.006446224
455,GIN,Guinea,-13.701,-0.465,3.068,5.645,33.392,9.471,9.122,Guinea,10735,66,12771246,0.006148114
1190,GMB,The Gambia,-5.364,-2.607,2.876,5.975,6.412,7.116,7.676,Gambia,3585,115,2347696,0.032078103
462,GNB,Guinea-Bissau,-10.185,-4.934,2.348,4.6,3.696,0.247,-0.095,Guinea_Bissau,2362,39,1920917,0.016511431
350,GNQ,Equatorial Guinea,-5.808,1.74,-9.286,-6.096,28.208,0.597,4.129,Equatorial_Guinea,5045,83,1355982,0.016451933
434,GRC,Greece,-2.107,0.39,2.028,1.87,323.653,0.517,1.05,Greece,19346,398,10724599,0.020572728
441,GRD,Grenada,-15.788,4.945,2.676,3.142,1.816,0.81,0.855,Grenada,24,0,112002,0
448,GTM,Guatemala,1.762,-2.275,1.509,3.57,152.779,3.7,3.4,Guatemala,93090,3267,17581476,0.035095069
469,GUY,Guyana,-40.318,-4.704,4.349,4.663,7.148,2.092,2.061,Guyana,2968,85,782775,0.028638814
483,HND,Honduras,-0.656,0.089,0.879,2.651,51.385,4.365,4.084,Honduras,78269,2386,9746115,0.030484611
266,HRV,Croatia,2.913,-0.046,3.645,2.919,112.623,0.772,1.379,Croatia,17160,291,4076246,0.016958042
476,HTI,Haiti,-1.411,-2.368,-2.348,-1.197,20.842,17.346,20.095,Haiti,8792,229,11263079,0.026046406
497,HUN,Hungary,-0.774,-2.048,4.981,4.928,335.752,3.371,4.033,Hungary,29717,812,9772756,0.027324427
518,IDN,Indonesia,-2.715,-2.229,3.943,5.025,"3,735.64",2.82,2.586,Indonesia,295499,10972,270625567,0.037130413
511,IND,India,-1.126,-7.442,2.875,4.228,"11,043.18",4.536,5.766,India,6473544,100842,1366417756,0.015577557
532,IRL,Ireland,-9.457,0.302,4.18,5.543,417.875,0.877,0,Ireland,37063,1801,4904240,0.048592936
539,IRN,Islamic Republic of Iran,-0.058,-5.593,-8.595,-7.586,"1,491.45",41.06,26.431,Iran,464596,26567,82913893,0.057183015
525,IRQ,Iraq,-1.203,-0.771,1.281,3.914,708.265,-0.199,0.096,Iraq,372259,9298,39309789,0.024977234
504,ISL,Iceland,5.816,-0.995,-0.52,1.919,20.046,3.013,2.033,Iceland,2809,10,356991,0.003559986
546,ISR,Israel,3.472,-3.906,1.549,3.503,354.878,0.842,0.601,Israel,258902,1633,8519373,0.006307406
553,ITA,Italy,2.957,-1.639,0.508,0.301,"2,454.81",0.634,0.484,Italy,319908,35941,60359546,0.112347925
560,JAM,Jamaica,-1.924,0.17,1.013,0.97,27.913,3.91,6.243,Jamaica,6691,116,2948277,0.017336721
574,JOR,Jordan,-2.758,-6.077,0.339,2.021,96.263,0.297,0.575,Jordan,13650,79,10101697,0.005787546
567,JPN,Japan,3.617,-2.825,0.897,0.654,"5,711.93",0.477,0.478,Japan,84768,1590,126860299,0.018757078
581,KAZ,Kazakhstan,-3.623,-0.577,3.173,4.5,540.984,5.244,5.4,Kazakhstan,141484,2083,18551428,0.014722513
588,KEN,Kenya,-4.535,-7.816,2.778,5.626,191.243,5.204,5.82,Kenya,38923,725,52573967,0.018626519
623,KGZ,Kyrgyz Republic,-9.123,-0.139,2.309,4.468,26.082,1.136,3.056,Kyrgyzstan,47184,1065,6415851,0.022571211
196,KHM,Cambodia,-12.533,0.448,5.463,7.045,76.959,2.371,2.666,Cambodia,278,0,16486542,0
1106,KNA,St. Kitts and Nevis,-1.709,3.888,1.869,2.909,1.656,-0.179,0.39,Saint_Kitts_and_Nevis,19,0,52834,0
602,KOR,Korea,3.69,0.862,1.831,2.033,"2,320.50",0.383,0.738,South_Korea,24027,420,51225321,0.017480335
616,KWT,Kuwait,8.909,4.766,-1.998,0.734,308.672,1.1,1.498,Kuwait,106087,615,4207077,0.005797129
630,LAO,Lao P.D.R.,-7.234,-5.147,3.234,4.72,57.133,3.324,6.287,Laos,23,0,7169456,0
644,LBN,Lebanon,-20.619,-10.7,-6.462,-6.513,84.288,2.895,6.96,Lebanon,42173,386,6855709,0.009152775
658,LBR,Liberia,-22.315,-5.384,-4.949,-2.516,6.278,26.969,20.251,Liberia,1346,82,4937374,0.060921248
665,LBY,Libya,-0.298,8.783,8.803,9.89,83.54,4.563,4.563,Libya,35717,570,6777453,0.015958787
1113,LCA,St. Lucia,4.634,-2.232,1.092,1.729,2.934,0.714,0.74,Saint_Lucia,27,0,182795,0
1099,LKA,Sri Lanka,-2.152,-6.766,1.66,2.283,304.166,4.303,4.83,Sri_Lanka,3388,13,21323734,0.003837072
651,LSO,Lesotho,-8.307,-3.828,0.518,1.196,6.911,5.2,4.3,Lesotho,1680,39,2125267,0.023214286
672,LTU,Lithuania,4.274,0.248,4.594,3.914,103.014,2.242,2.73,Lithuania,4956,93,2794184,0.018765133
679,LUX,Luxembourg,4.481,2.715,0.317,2.298,68.824,1.654,1.84,Luxembourg,8709,125,613894,0.014352968
637,LVA,Latvia,-0.535,-0.381,2.505,2.197,59.475,2.747,2.137,Latvia,1945,38,1919968,0.019537275
791,MAR,Morocco,-4.15,-4.115,1.149,2.203,327.251,-0.048,-0.304,Morocco,128565,2263,36471766,0.017601991
770,MDA,Moldova,-8.853,-1.515,5.459,3.58,27.292,4.849,7.5,Moldova,55016,1344,4043258,0.024429257
693,MDG,Madagascar,-2.533,-1.419,2.108,4.758,52.865,5.623,3.975,Madagascar,16493,232,26969306,0.014066574
714,MDV,Maldives,-26.131,-5.58,3.913,5.657,8.474,1.309,1.305,Maldives,10398,34,530957,0.00326986
756,MEX,Mexico,-0.194,-2.321,-1.229,-0.146,"2,616.29",3.635,2.829,Mexico,753090,78492,127575529,0.104226586
868,MKD,North Macedonia,-2.765,-1.954,3.471,3.551,34.694,0.766,0.434,North_Macedonia,18363,749,2077132,0.040788542
721,MLI,Mali,-4.195,-1.679,2.054,5.1,47.411,-0.591,-1.283,Mali,3156,131,19658023,0.041508238
728,MLT,Malta,8.433,1.294,2.424,4.384,23.001,1.523,1.283,Malta,3139,37,493559,0.011787193
805,MMR,Myanmar,-2.002,-3.499,5.728,6.5,357.339,8.627,9.511,Myanmar,15525,353,54045422,0.02273752
784,MNE,Montenegro,-15.143,-3.592,3.542,3.609,12.608,0.366,1.052,Montenegro,11690,172,622182,0.01471343
777,MNG,Mongolia,-12.379,1.331,3.093,5.099,46.723,7.26,5.172,Mongolia,313,0,3225166,0
798,MOZ,Mozambique,-42.227,-0.153,-0.459,2.224,44.716,2.785,3.503,Mozambique,8979,64,30366043,0.007127743
742,MRT,Mauritania,-10.597,2.754,3.549,5.861,25.456,2.306,2.702,Mauritania,7505,161,4525698,0.021452365
749,MUS,Mauritius,-5.808,-6.474,3.389,3.482,31.592,0.454,0.879,Mauritius,381,10,1269670,0.026246719
700,MWI,Malawi,-17.188,-6.363,1.575,4.5,25.157,9.378,11.527,Malawi,5783,179,18628749,0.030952793
707,MYS,Malaysia,3.292,-3.175,3.693,4.33,"1,076.37",0.663,0.991,Malaysia,11771,136,31949789,0.011553819
812,NAM,Namibia,-2.288,-4.689,-3.233,-1.395,26.76,3.721,2.588,Namibia,11480,123,2494524,0.010714286
854,NER,Niger,-13.239,-3.555,1.888,5.829,34.659,-2.52,-2.317,Niger,1198,69,23310719,0.057595993
861,NGA,Nigeria,-3.797,-4.976,-0.38,2.208,"1,215.39",11.397,11.982,Nigeria,59127,1112,200963603,0.018806975
847,NIC,Nicaragua,5.749,-0.403,-4.87,-3.879,34.875,5.376,0,Nicaragua,5086,149,6545503,0.029296107
833,NLD,Netherlands,10.865,1.659,1.515,1.811,"1,005.34",2.673,2.817,Netherlands,127786,6419,17282163,0.05023242
875,NOR,Norway,3.96,7.919,0.531,1.151,407.412,2.168,1.366,Norway,14149,275,5328212,0.019436003
826,NPL,Nepal,-7.718,-4.561,5.67,7.051,94.383,4.639,6.021,Nepal,82450,520,28608715,0.006306853
840,NZL,New Zealand,-2.969,-1.619,0.731,2.18,208.744,1.62,1.854,New_Zealand,1493,25,4783062,0.016744809
882,OMN,Oman,-5.181,-6.952,-2.493,0.469,204.762,0.134,0.134,Oman,98585,935,4974992,0.009484201
889,PAK,Pakistan,-4.955,-8.848,1.392,3.294,"1,201.63",6.738,8,Pakistan,313984,6507,216565317,0.020723986
903,PAN,Panama,-5.24,-3.144,1.541,3.006,111.998,-0.355,-0.064,Panama,113962,2406,4246440,0.021112301
