,countriesAndTerritories,cases,deaths,popData2019,countryterritoryCode,death rate,popinfect
97,Isle_of_Man,341,24,84589,IMN,7.038123167,0.403125702
98,Israel,258902,1633,8519373,ISR,0.630740589,3.038979512
99,Italy,319908,35941,60359546,ITA,11.2347925,0.530003986
100,Jamaica,6691,116,2948277,JAM,1.733672097,0.226946111
101,Japan,84768,1590,126860299,JPN,1.875707814,0.066819959
102,Jersey,421,32,107796,JEY,7.600950119,0.390552525
103,Jordan,13650,79,10101697,JOR,0.578754579,0.135125811
104,Kazakhstan,141484,2083,18551428,KAZ,1.472251279,0.762658271
105,Kenya,38923,725,52573967,KEN,1.862651902,0.07403474
106,Kosovo,15703,627,1798506,XKX,3.992867605,0.873113573
107,Kuwait,106087,615,4207077,KWT,0.579712877,2.521632002
108,Kyrgyzstan,47184,1065,6415851,KGZ,2.257121058,0.73542855
109,Laos,23,0,7169456,LAO,0,0.000320805
110,Latvia,1945,38,1919968,LVA,1.953727506,0.101303772
111,Lebanon,42173,386,6855709,LBN,0.915277547,0.615151547
112,Lesotho,1680,39,2125267,LSO,2.321428571,0.079048891
113,Liberia,1346,82,4937374,LBR,6.092124814,0.027261455
114,Libya,35717,570,6777453,LBY,1.595878713,0.526997384
115,Liechtenstein,121,1,38378,LIE,0.826446281,0.315284799
116,Lithuania,4956,93,2794184,LTU,1.876513317,0.17736842
117,Luxembourg,8709,125,613894,LUX,1.435296819,1.418648822
118,Madagascar,16493,232,26969306,MDG,1.40665737,0.061154707
119,Malawi,5783,179,18628749,MWI,3.095279267,0.031043416
120,Malaysia,11771,136,31949789,MYS,1.155381871,0.036842184
121,Maldives,10398,34,530957,MDV,0.326985959,1.958350676
122,Mali,3156,131,19658023,MLI,4.150823828,0.016054514
123,Malta,3139,37,493559,MLT,1.178719337,0.63599286
124,Mauritania,7505,161,4525698,MRT,2.145236509,0.165830774
125,Mauritius,381,10,1269670,MUS,2.624671916,0.030007797
126,Mexico,753090,78492,127575529,MEX,10.42265865,0.590309134
127,Moldova,55016,1344,4043258,MDA,2.442925694,1.360684873
128,Monaco,221,1,33085,MCO,0.452488688,0.667976424
129,Mongolia,313,0,3225166,MNG,0,0.009704927
130,Montenegro,11690,172,622182,MNE,1.471343028,1.878871456
131,Montserrat,13,1,4991,MSF,7.692307692,0.260468844
132,Morocco,128565,2263,36471766,MAR,1.760199121,0.352505552
133,Mozambique,8979,64,30366043,MOZ,0.712774251,0.029569213
134,Myanmar,15525,353,54045422,MMR,2.273752013,0.028725837
135,Namibia,11480,123,2494524,NAM,1.071428571,0.46020804
136,Nepal,82450,520,28608715,NPL,0.630685264,0.288198893
137,Netherlands,127786,6419,17282163,NLD,5.023241983,0.73940976
138,New_Caledonia,27,0,282757,NCL,0,0.009548835
139,New_Zealand,1493,25,4783062,NZL,1.674480911,0.031214314
140,Nicaragua,5086,149,6545503,NIC,2.929610696,0.077702203
141,Niger,1198,69,23310719,NER,5.759599332,0.005139267
142,Nigeria,59127,1112,200963603,NGA,1.880697482,0.029421746
143,North_Macedonia,18363,749,2077132,MKD,4.078854218,0.884055515
144,Northern_Mariana_Islands,73,2,57213,MNP,2.739726027,0.127593379
145,Norway,14149,275,5328212,NOR,1.943600254,0.265548743
146,Oman,98585,935,4974992,OMN,0.948420145,1.981611227
147,Pakistan,313984,6507,216565317,PAK,2.072398594,0.144983511
148,Palestine,51607,379,4981422,PSE,0.734396497,1.035989322
149,Panama,113962,2406,4246440,PAN,2.111230059,2.683706823
150,Papua_New_Guinea,539,7,8776119,PNG,1.298701299,0.006141667
151,Paraguay,42684,890,7044639,PRY,2.085090432,0.605907556
152,Peru,821564,32609,32510462,PER,3.969136914,2.527075746
153,Philippines,316678,5616,108116622,PHL,1.773410215,0.292904083
154,Poland,95773,2570,37972812,POL,2.683428524,0.252214663
155,Portugal,77284,1983,10276617,PRT,2.56586098,0.752037368
156,Puerto_Rico,49067,665,2933404,PRI,1.355289706,1.67269834
157,Qatar,126164,215,2832071,QAT,0.170413113,4.454831817
158,Romania,132001,4915,19414458,ROU,3.72345664,0.679910817
159,Russia,1194643,21077,145872260,RUS,1.764292764,0.818965169
160,Rwanda,4847,29,12626938,RWA,0.598308232,0.038386187
161,Saint_Kitts_and_Nevis,19,0,52834,KNA,0,0.035961691
162,Saint_Lucia,27,0,182795,LCA,0,0.014770645
163,Saint_Vincent_and_the_Grenadines,64,0,110593,VCT,0,0.057869847
164,San_Marino,732,42,34453,SMR,5.737704918,2.124633559
165,Sao_Tome_and_Principe,911,15,215048,STP,1.646542261,0.423626353
166,Saudi_Arabia,335578,4823,34268529,SAU,1.437221749,0.979260009
167,Senegal,15051,312,16296362,SEN,2.072951963,0.092358037
168,Serbia,33735,751,6963764,SRB,2.226174596,0.48443629
169,Seychelles,144,0,97741,SYC,0,0.147328143
170,Sierra_Leone,2252,72,7813207,SLE,3.197158082,0.028822992
171,Singapore,57794,27,5804343,SGP,0.046717652,0.995702701
172,Sint_Maarten,674,22,42389,SXM,3.264094955,1.590035151
173,Slovakia,11617,54,5450421,SVK,0.464836016,0.213139499
174,Slovenia,6103,140,2080908,SVN,2.293953793,0.293285431
175,Somalia,3593,99,15442906,SOM,2.75535764,0.023266346
176,South_Africa,677833,16909,58558267,ZAF,2.494567246,1.157535963
177,South_Korea,24027,420,51225321,KOR,1.748033462,0.046904538
178,South_Sudan,2715,50,11062114,SSD,1.841620626,0.024543229
179,Spain,789932,32086,46937060,ESP,4.061868617,1.682960117
180,Sri_Lanka,3388,13,21323734,LKA,0.383707202,0.015888399
181,Sudan,13653,836,42813237,SDN,6.123196367,0.03188967
182,Suriname,4899,105,581363,SUR,2.14329455,0.842674886
183,Sweden,94283,5895,10230185,SWE,6.252452722,0.921615787
184,Switzerland,54263,1783,8544527,CHE,3.285848552,0.635061484
185,Syria,4289,203,17070132,SYR,4.733038004,0.025125758
186,Taiwan,517,7,23773881,CNG1925,1.353965184,0.002174655
187,Tajikistan,9852,77,9321023,TJK,0.781567194,0.105696553
188,Thailand,3583,59,69625581,THA,1.646664806,0.005146097
189,Timor_Leste,28,0,1293120,TLS,0,0.002165306
190,Togo,1818,48,8082359,TGO,2.640264026,0.022493433
191,Trinidad_and_Tobago,4629,76,1394969,TTO,1.641823288,0.331835331
192,Tunisia,19721,271,11694721,TUN,1.374169667,0.168631642
193,Turkey,321512,8325,82003882,TUR,2.589327926,0.392069244
194,Turks_and_Caicos_islands,695,6,38194,TCA,0.863309353,1.819657538
195,Uganda,8491,79,44269587,UGA,0.930396891,0.019180211
196,Ukraine,217661,4261,43993643,UKR,1.957631363,0.494755572
197,United_Arab_Emirates,96529,424,9770526,ARE,0.439246237,0.987961139
198,United_Kingdom,467146,42268,66647112,GBR,9.048134844,0.700924595
199,United_Republic_of_Tanzania,509,21,58005461,TZA,4.125736739,0.000877504
200,United_States_Virgin_Islands,1326,20,104579,VIR,1.508295626,1.267940982
201,United_States_of_America,7332285,208716,329064917,USA,2.846534198,2.228218391
202,Uruguay,2097,48,3461731,URY,2.288984263,0.060576631
203,Uzbekistan,57776,475,32981715,UZB,0.822140681,0.175175851
204,Venezuela,76820,643,28515829,VEN,0.837021609,0.269394237
205,Vietnam,1096,35,96462108,VNM,3.193430657,0.001136197
206,Western_Sahara,766,1,582458,ESH,0.130548303,0.131511628
207,Yemen,2043,588,29161922,YEM,28.78120411,0.007005711
208,Zambia,14830,333,17861034,ZMB,2.245448415,0.083029907
209,Zimbabwe,7858,228,14645473,ZWE,2.901501654,0.053654805
