,countriesAndTerritories,cases,deaths,popData2019,countryterritoryCode
151,Paraguay,42684,890,7044639,PRY
152,Peru,821564,32609,32510462,PER
153,Philippines,316678,5616,108116622,PHL
154,Poland,95773,2570,37972812,POL
155,Portugal,77284,1983,10276617,PRT
156,Puerto_Rico,49067,665,2933404,PRI
157,Qatar,126164,215,2832071,QAT
158,Romania,132001,4915,19414458,ROU
159,Russia,1194643,21077,145872260,RUS
160,Rwanda,4847,29,12626938,RWA
161,Saint_Kitts_and_Nevis,19,0,52834,KNA
162,Saint_Lucia,27,0,182795,LCA
163,Saint_Vincent_and_the_Grenadines,64,0,110593,VCT
164,San_Marino,732,42,34453,SMR
165,Sao_Tome_and_Principe,911,15,215048,STP
166,Saudi_Arabia,335578,4823,34268529,SAU
167,Senegal,15051,312,16296362,SEN
168,Serbia,33735,751,6963764,SRB
169,Seychelles,144,0,97741,SYC
170,Sierra_Leone,2252,72,7813207,SLE
171,Singapore,57794,27,5804343,SGP
172,Sint_Maarten,674,22,42389,SXM
173,Slovakia,11617,54,5450421,SVK
174,Slovenia,6103,140,2080908,SVN
175,Somalia,3593,99,15442906,SOM
176,South_Africa,677833,16909,58558267,ZAF
177,South_Korea,24027,420,51225321,KOR
178,South_Sudan,2715,50,11062114,SSD
179,Spain,789932,32086,46937060,ESP
180,Sri_Lanka,3388,13,21323734,LKA
181,Sudan,13653,836,42813237,SDN
182,Suriname,4899,105,581363,SUR
183,Sweden,94283,5895,10230185,SWE
184,Switzerland,54263,1783,8544527,CHE
185,Syria,4289,203,17070132,SYR
186,Taiwan,517,7,23773881,CNG1925
187,Tajikistan,9852,77,9321023,TJK
188,Thailand,3583,59,69625581,THA
189,Timor_Leste,28,0,1293120,TLS
190,Togo,1818,48,8082359,TGO
191,Trinidad_and_Tobago,4629,76,1394969,TTO
192,Tunisia,19721,271,11694721,TUN
193,Turkey,321512,8325,82003882,TUR
194,Turks_and_Caicos_islands,695,6,38194,TCA
195,Uganda,8491,79,44269587,UGA
196,Ukraine,217661,4261,43993643,UKR
197,United_Arab_Emirates,96529,424,9770526,ARE
198,United_Kingdom,467146,42268,66647112,GBR
199,United_Republic_of_Tanzania,509,21,58005461,TZA
200,United_States_Virgin_Islands,1326,20,104579,VIR
201,United_States_of_America,7332285,208716,329064917,USA
202,Uruguay,2097,48,3461731,URY
203,Uzbekistan,57776,475,32981715,UZB
204,Venezuela,76820,643,28515829,VEN
205,Vietnam,1096,35,96462108,VNM
206,Western_Sahara,766,1,582458,ESH
207,Yemen,2043,588,29161922,YEM
208,Zambia,14830,333,17861034,ZMB
209,Zimbabwe,7858,228,14645473,ZWE
